Region,State,Residential_2005,Residential_2004,Commercial_2005,Commercial_2004,Industrial_2005,Industrial_2004,AllOtherSectors_2005,AllOtherSectors_2004
1,Connecticut,13.65,11.67,11.4,9.94,9.5,7.9,12.02,10.29
1,Maine,13.32,12.2,10.27,9.92,3.39,6.57,9.41,9.71
1,Massachusetts,13.31,11.8,12.79,11.03,8.68,8.5,12.12,10.8
1,New Hampshire,13.47,12.54,11.97,11.04,11.42,10.03,12.46,11.41
1,Rhode Island,12.73,12.24,11.55,10.57,9.87,9.39,11.75,11
1,Vermont,13.07,12.99,11.33,11.46,8.06,7.98,11.07,11.06
2,New Jersey,11.81,11.28,11.11,10,9.55,9.04,11.17,10.32
2,New York,15.64,14.6,13.19,13.03,7.62,7.05,13.16,12.59
2,Pennsylvania,9.97,9.61,8.91,8.54,5.9,5.88,8.27,8.03
3,Illinois,8.44,8.41,8.14,7.57,4.55,4.66,7.04,6.82
3,Indiana,7.52,7.33,6.53,6.33,4.41,4.14,5.86,5.59
3,Michigan,8.63,8.36,8.07,7.6,5.58,4.93,7.49,6.96
3,Ohio,8.57,8.48,7.94,7.78,5.02,4.9,7.07,6.91
3,Wisconsin,9.65,9.1,7.6,7.27,5.33,4.94,7.42,6.9
4,Iowa,9.43,9,6.97,6.77,4.58,4.34,6.74,6.42
4,Kansas,8.04,7.77,6.69,6.48,4.92,4.7,6.66,6.39
4,Minnesota,8.37,7.95,6.5,6.33,5.12,4.64,6.65,6.25
4,Missouri,7.16,7,5.94,5.83,4.65,4.63,6.19,6.09
4,Nebraska,7.2,6.99,5.99,5.87,4.37,4.29,5.88,5.72
4,North Dakota,7.08,6.82,6.08,5.89,4.5,4.14,5.97,5.71
4,South Dakota,7.83,7.68,6.2,6.21,5.04,4.6,6.61,6.46
5,Delaware,9.05,8.81,7.67,7.47,5.35,6.07,7.55,7.55
5,District of Columbia,9.05,8.03,9.3,7.48,3.44,4.74,9.05,7.5
5,Florida,9.6,9.02,8.15,7.64,6.53,5.85,8.76,8.19
5,Georgia,8.72,7.89,7.69,6.91,5.25,4.43,7.45,6.6
5,Maryland,8.28,7.83,10.73,7.58,4.88,6,7.83,7.17
5,North Carolina,8.79,8.48,6.96,6.72,5.15,4.89,7.29,6.99
5,South Carolina,8.71,8.15,7.42,6.94,4.57,4.13,6.73,6.24
5,Virginia,8.23,8.02,6.02,5.9,4.48,4.28,6.64,6.45
5,West Virginia,6.24,6.25,5.53,5.48,3.86,3.83,5.16,5.14
6,Alabama,8.06,7.65,7.55,7.14,4.58,4.16,6.51,6.09
6,Kentucky,6.41,6.13,5.93,5.63,3.63,3.34,4.96,4.64
6,Mississippi,8.75,8.24,8.5,8.02,5.29,4.84,7.57,7.02
6,Tennessee,6.97,6.92,7.08,7.08,4.79,4.47,6.31,6.15
6,Arkansas,7.95,7.39,6.16,5.66,4.65,4.16,6.25,5.68
6,Louisiana,8.95,8.08,8.5,7.61,6.69,5.83,8.04,7.15
6,Oklahoma,8.12,7.75,7.02,6.58,5.1,4.77,6.93,6.52
6,Texas,10.8,9.77,8.79,7.93,7.06,5.88,9.06,7.97
7,Arizona,8.96,8.49,7.58,7.31,5.74,5.36,7.89,7.47
7,Colorado,9.01,8.45,7.52,6.91,5.69,5.11,7.58,6.97
7,Idaho,6.31,6.13,5.41,5.39,3.91,3.83,5.1,4.99
7,Montana,8.12,7.89,7.7,7.45,4.71,4.16,6.75,6.42
7,Nevada,10.14,9.73,9.4,9.12,7.45,7.25,8.87,8.58
7,New Mexico,9.16,8.7,7.82,7.42,5.64,5.23,7.54,7.12
7,Utah,7.63,7.24,6.22,5.92,4.3,4.02,6.03,5.71
7,Wyoming,7.44,7.24,6.16,6,3.98,3.91,5.13,4.99
8,California,11.96,12.56,11.98,11.57,8.64,9.53,11.31,11.48
8,Oregon,7.23,7.21,6.85,6.47,4.1,4.43,6.22,6.23
8,Washington,6.52,6.4,6.2,6.2,3.92,4.29,5.71,5.82
8,Alaska,13.13,12.48,11.3,11.03,9.12,8.35,11.5,11.02
8,Hawaii,20.48,18.13,18.8,16.25,15.59,13.37,18.11,15.74
